"X","OFV","AIC","BIC","BICc","run"
1,-6999155.59628746,-6999133.59628746,-6999054.28254336,-6999023.12480226,"1706589799_64608"
2,-6997793.98420596,-6997771.98420596,-6997692.67046187,-6997661.51272077,"1674439623_63654"
12,-6994977.92634078,-6994955.92634078,-6994876.61259669,-6994845.45485558,"1674807652_68649"
1,-6994621.22639203,-6994599.22639203,-6994519.91264794,-6994488.75490684,"1706584718_96569"
3,-6994167.10668305,-6994145.10668305,-6994065.79293896,-6994034.63519786,"1674472933_96635"
2,-6993203.97458655,-6993181.97458655,-6993102.66084246,-6993071.50310135,"1674364158_94625"
1,-6990674.1410682,-6990652.1410682,-6990572.82732411,-6990541.669583,"1706478322_82753"
1,-6989305.39971747,-6989283.39971747,-6989204.08597338,-6989172.92823228,"1706425611_22949"
3,-6988871.47724067,-6988849.47724067,-6988770.16349658,-6988739.00575547,"1674386008_97938"
1,-6988841.88790755,-6988819.88790755,-6988740.57416346,-6988709.41642235,"1706531632_58348"
1,-6987520.99688095,-6987498.99688095,-6987419.68313686,-6987388.52539575,"1706562716_29695"
1,-6986562.0672844,-6986540.0672844,-6986460.75354031,-6986429.5957992,"1706536633_28573"
1,-6986265.31854767,-6986243.31854767,-6986164.00480358,-6986132.84706248,"1674321588_78123"
6,-6986025.34606246,-6986003.34606246,-6985924.03231837,-6985892.87457726,"1674513616_87977"
8,-6985766.69977381,-6985744.69977381,-6985665.38602971,-6985634.22828861,"1674669643_25911"
1,-6984987.00610438,-6984965.00610438,-6984885.69236029,-6984854.53461919,"1674321592_00733"
1,-6984530.72567745,-6984508.72567745,-6984429.41193336,-6984398.25419226,"1706557016_95952"
1,-6983940.65783897,-6983918.65783897,-6983839.34409488,-6983808.18635378,"1706494013_08131"
1,-6980185.4740089,-6980163.4740089,-6980084.1602648,-6980053.0025237,"1706572596_51801"
9,-6980135.4306073,-6980113.4306073,-6980034.11686321,-6980002.95912211,"1674694255_03453"
1,-6979930.70058138,-6979908.70058138,-6979829.38683729,-6979798.22909619,"1706472854_18117"
1,-6972040.94353348,-6972018.94353348,-6971939.62978939,-6971908.47204829,"1706462594_60838"
17,-6970386.49083255,-6970364.49083255,-6970285.17708846,-6970254.01934735,"1674981148_09058"
1,-6963354.37686893,-6963332.37686893,-6963253.06312484,-6963221.90538373,"1706444622_73645"
15,-6958752.3461411,-6958730.3461411,-6958651.03239701,-6958619.87465591,"1674918685_35203"
4,-6943362.0972218,-6943340.0972218,-6943260.78347771,-6943229.6257366,"1674439803_93208"
2,-6934859.12464906,-6934837.12464906,-6934757.81090497,-6934726.65316386,"1674348672_35229"
7,-6922145.66311518,-6922123.66311518,-6922044.34937109,-6922013.19162999,"1674566470_66582"
5,-6901332.86880599,-6901310.86880599,-6901231.5550619,-6901200.39732079,"1674473875_15618"
1,-6827948.8105772,-6827926.8105772,-6827847.49683311,-6827816.339092,"1706575857_81426"
