X,OFV,AIC,BIC,BICc,run
1,-3485208.14869654,-3485186.14869654,-3485114.45957144,-3485083.30183033,1706289009_07432
3,-3484606.50182933,-3484584.50182933,-3484512.81270422,-3484481.65496312,1674343691_03641
23,-3484295.66885394,-3484273.66885394,-3484201.97972884,-3484170.82198773,1674682908_70602
35,-3484234.22439565,-3484212.22439565,-3484140.53527054,-3484109.37752944,1674736782_38407
26,-3484113.82997624,-3484091.82997624,-3484020.14085114,-3483988.98311003,1674617704_87985
9,-3482884.0200066,-3482862.0200066,-3482790.3308815,-3482759.17314039,1674408709_55397
1,-3481255.65233474,-3481233.65233474,-3481161.96320963,-3481130.80546853,1706277166_20293
1,-3480284.44116595,-3480262.44116595,-3480190.75204084,-3480159.59429974,1706312362_84127
2,-3479793.35509274,-3479771.35509274,-3479699.66596764,-3479668.50822653,1674331513_70905
30,-3478171.16619993,-3478149.16619993,-3478077.47707482,-3478046.31933372,1674676161_39852
25,-3478016.76731401,-3477994.76731401,-3477923.0781889,-3477891.92044779,1674715570_14961
1,-3477742.76392634,-3477720.76392634,-3477649.07480123,-3477617.91706012,1706524891_91813
18,-3476467.20370151,-3476445.20370151,-3476373.5145764,-3476342.3568353,1674522085_7989
33,-3476456.13652943,-3476434.13652943,-3476362.44740432,-3476331.28966322,1674839192_85647
1,-3476449.73282776,-3476427.73282776,-3476356.04370266,-3476324.88596155,1706429096_2072
22,-3476438.81162797,-3476416.81162797,-3476345.12250287,-3476313.96476176,1674662691_87617
26,-3468360.38143265,-3468338.38143265,-3468266.69230754,-3468235.53456644,1674737950_3473
32,-3465878.33835392,-3465856.33835392,-3465784.64922881,-3465753.4914877,1674816866_58545
39,-3463755.24344616,-3463733.24344616,-3463661.55432106,-3463630.39657995,1674785440_65921
7,-3458746.43653144,-3458724.43653144,-3458652.74740633,-3458621.58966523,1674387524_92691
1,-3457800.73067963,-3457778.73067963,-3457707.04155452,-3457675.88381341,1706297627_02467
1,-3457778.6755882,-3457756.6755882,-3457684.9864631,-3457653.82872199,1706320676_0138
29,-3456585.30463863,-3456563.30463863,-3456491.61551353,-3456460.45777242,1674784321_63292
33,-3455464.67586933,-3455442.67586933,-3455370.98674422,-3455339.82900311,1674709402_07786
10,-3454752.87123301,-3454730.87123301,-3454659.1821079,-3454628.0243668,1674439035_17397
1,-3454251.67529918,-3454229.67529918,-3454157.98617407,-3454126.82843296,1706456280_99655
5,-3451952.32521666,-3451930.32521666,-3451858.63609156,-3451827.47835045,1674365583_50609
1,-3450472.62756192,-3450450.62756192,-3450378.93843681,-3450347.78069571,1706377182_10169
18,-3446805.77471117,-3446783.77471117,-3446712.08558606,-3446680.92784496,1674588534_89408
15,-3444232.82876328,-3444210.82876328,-3444139.13963817,-3444107.98189707,1674533385_17286
7,-3407000.58787712,-3406978.58787712,-3406906.89875202,-3406875.74101091,1674393408_95519
24,-3394349.72441102,-3394327.72441102,-3394256.03528591,-3394224.87754481,1674695121_9996
28,-3394065.67032465,-3394043.67032465,-3393971.98119954,-3393940.82345843,1674646395_61913
1,-3393582.1275622,-3393560.1275622,-3393488.4384371,-3393457.28069599,1706405750_1938
1,-3381039.08963632,-3381017.08963632,-3380945.40051122,-3380914.24277011,1706508219_22383
11,-3343192.14410706,-3343170.14410706,-3343098.45498195,-3343067.29724085,1674454649_90659
13,-3335713.39903658,-3335691.39903658,-3335619.70991147,-3335588.55217037,1674495488_86732
