Unnamed: 0,run,convergenceIndicator,exploratoryNumber,smoothingNumber
74,1o5o6FvbsyBESyYgWVf4,-35211.3404193634,1145,1000
23,udiUeI1Om5zhYSvvYKRL,-35203.7680726682,1051,1000
33,1gXxzvFUPsUgvHE45JY2,-35189.6615687974,977,1000
1,FwgYG8uWYbGSV44Kta2j,-35183.693714892,736,1000
6,grtmgdtl4K5ZjGLIVcVZ,-35170.1031189636,944,1000
59,0OgGKKMy1vZFn8LPVnwU,-35167.3145067623,740,1000
41,0e1rc4B390LCzJ8qPfSQ,-35165.8932906802,817,1000
21,xJN6ZtUMiqzjkstuOyiU,-35132.8066743758,849,1000
81,kNb2TVYPORdnPwxaR3V2,-35129.2133080828,1050,1000
51,5tqlnThI6Sl58SXtn9bn,-35104.1280138884,723,1000
15,6E4U8dhfRCwIOS4KO27Z,-35103.734715115,906,1000
26,LurTmThpAFUypisBXQYx,-35096.6399824285,768,1000
22,uETE7RmylGS1krT9YVRy,-35071.8829528125,690,1000
62,2sENYtsiInQYWik21h1W,-35070.8885166224,749,1000
75,tcOVSkVqNflrEVuoLpeN,-35059.9856778211,819,1000
28,CcuLx1vDtu8zPLqKXgUg,-35051.79338122,723,1000
2,MuNPfHSfb1GC3WrQ6bAK,-35042.0221302982,666,1000
8,MgAaBkS8L0SmxDb4coKj,-35020.2587369286,683,1000
71,CKIJvojPWsxnbJnv30q9,-35007.0419697859,628,1000
18,eY4Aa3B3T6WmH0zmo0BD,-35003.7302327114,665,1000
38,aEvcL88xv6ch2NUzPtrx,-34997.1609438875,979,1000
47,9C5PImTtgMBNcZuXBuvF,-34987.6246768588,665,1000
76,3INkmnipP5z6C0UZpagU,-34974.3844887929,644,1000
87,qcJO1Yhy6NkXeWtDhMu5,-34933.5255735815,740,1000
42,J35ACSCjYfswZVGJMzkR,-34916.0823658045,1052,1000
64,0QWQ8SqxWevwkVuIeOXe,-34887.0009575242,1677,1000
55,4qMQxZhJoAXHPd62gLCL,-34883.0111929866,1041,1000
34,LT14Yhb8W1OKnHSaSOnQ,-34871.9925291813,563,1000
66,JMZRnaDtXkW57nDE5s6A,-34870.8729260609,738,1000
25,capkYvBqFsxAjSOab1Pl,-34863.3570551198,1051,1000
10,lx1anlJlNGGb5RrGInuE,-34852.8303973782,806,1000
37,7mADdwqB6x8QeaU0uNqd,-34825.2998184268,1074,1000
5,bYzjX7SC5KXt6C574Ugj,-34805.4512284603,1049,1000
44,INQH2a2j2zz8abxBEkvB,-34792.5515119329,1059,1000
39,IxwfI9AmLYQiAXOjojfM,-34764.8096405102,807,1000
40,xF5bKxRWGZfnxMfELMwy,-34753.1297174123,939,1000
53,El9rdegsLpZlUWoNgu6m,-34740.5657585947,687,1000
48,nDFfGfjBVX8N8floV9bd,-34722.2875561964,820,1000
3,o4fymaJZFfOxg0iEnjyg,-34650.744676251,684,1000
60,M09n1seg0dmr6tbbhdx3,-34635.8812014531,1044,1000
14,B28oauUTfG3FzjA0ZjTG,-34625.2341007801,741,1000
36,5oSL3P4x9OUoyBig92xD,-34598.6428642359,700,1000
83,yFA8a2m6aK1yE7vAhNRa,-34582.6339686563,723,1000
80,SpIrVvxRRJvZgM6quRWf,-34511.6766772422,872,1000
9,DpVRDa1FShNCEqXNHaUA,-34222.1785784181,779,1000
35,XgB6QtmP8GmAwgOXG8V2,-34054.9087531752,1764,1000
90,RLsMfwT1t7jSnHql5cvn,-34014.6941003701,1092,1000
32,iw8gmzYTqc1XBq1cMJfF,-34012.9671391733,734,1000
17,vt6mapVRFkDoDn9RKyOw,-33775.5948677711,1180,1000
4,fTSnbqQ2eAEAd8NuLSXy,-33670.4253399773,698,1000
56,pGzjc260DCWfBaQy1Ex6,-33428.4040030323,782,1000
16,saeyLC0EALSDREpJgX9r,-33087.5899191746,1461,1000
65,7rLKqMx4K6yE0N0YAe2A,-32814.7634235046,952,1000
85,zGn683N4EldVh3b5x7qp,-32775.2082709293,1447,1000
69,7bQ1Jsnxp9HQYUqRNrM1,-32360.3820301876,1284,1000
