Unnamed: 0,run,convergenceIndicator,exploratoryNumber,smoothingNumber
3,Eq0jcKpPb0Lcz3Xc2z48,-70049.4190332865,1135,1000
21,bUEDEA2hSGiOfwOjyGII,-69981.5263474994,910,995
58,jxUnYvzzV7T9291erLth,-69971.4574498262,904,1000
53,mPxNJxJwNcSw3gnLjKOZ,-69964.7960770068,839,1000
25,dPVv4wZH09zFoNFFC3oF,-69887.273589576,1754,1000
55,fxStkum5CKpsaxT5aYlZ,-69861.1769533797,1081,1000
13,2oDTQEv7e4bLTTX3cAOg,-69857.3378746487,986,1000
43,hUAD0mTaXlHHmPOlekY5,-69810.2943406262,1137,1000
41,aW0mwZbChaU9VYtWcU8S,-69693.4854463613,911,1000
39,8AJ8P4hU5dcGkeXnWhU2,-69687.0681736545,1346,1000
68,fHQsAx0WZzc2mprIfMHi,-69630.8674221955,1558,1000
17,zRPvfZY3evriEuDBDZ3N,-69515.8641679142,1021,1000
12,vfHyumdKldl6n8f3ojaZ,-69450.7828840707,852,1000
20,Weixe4oXbsTVXMEGkJME,-69428.1286088509,1349,1000
14,RETMtARd1jcoMljvIhlT,-69384.9915626346,1750,1000
46,ujOi7WpsQBQU772gs9fz,-69344.8880389838,1235,1000
72,JgWeswPqdfqkqjowahQw,-69342.0250953921,1258,1000
33,FthdJtW0b6JGobmQlR5H,-69331.1878959714,1055,1000
19,ANf6nd6x31FRvPkDTswx,-69079.2535160777,1325,1000
70,69phj4sPjJVz4bl6EdEB,-68932.4338517122,958,1000
75,CIkxoKstAYHUB2cyghce,-68754.1542530328,945,1000
48,nJ2xjrMzQEwgzvo7aikj,-68639.7920228253,1315,1000
45,B4aq9Qg2QVnqRPHIJTNb,-68560.7945776965,1234,1000
60,BHR7MlEHFBu7Pr6ETISC,-68541.2088907595,1144,1000
57,6A7fJtNVmGW69ELq4hp3,-68308.3058892799,913,1000
8,bjbUa59sxSkDgGXALsc1,-68304.7635946319,1564,1000
16,vZ5KD0lfgx0Pqx3bqVub,-68146.6463262292,1626,1000
51,chu6bhB6Xie5YqrG5fBg,-67890.9201372081,3134,1000
35,tfhYdY7J7BhiwTnR7We2,-67248.5974107178,1552,1000
6,Mhdk5vKyT199yTSr4cBe,-67239.5245239333,1217,1000
69,z3N60CPFZBqbbx9kgw4i,-67117.1336465681,1884,1000
64,IzlNVi8qqyFNGfcKVwwn,-66944.1461968303,1754,1000
1,tyby0oawcBMiVpVNcIN4,-66000.7442032019,1360,1000
18,Advo1YbRFAUZH22S23jw,-64685.329346364,3032,1000
37,pDnitc9naCiwAAEw1AWg,-63078.4442720696,1173,1000
56,uUjjMie1HCAfzPGJJMrw,-62737.3791810583,1924,1000
