"X","OFV","AIC","BIC","BICc","run"
37,-70007.9139903025,-69985.9139903025,-69957.2571182567,-69926.0993771513,"1674355358_22928"
94,-70005.3889143279,-69983.3889143279,-69954.732042282,-69923.5743011767,"1674363867_79773"
95,-70003.0379750651,-69981.0379750651,-69952.3811030192,-69921.2233619139,"1674363977_88104"
14,-69992.5063525009,-69970.5063525009,-69941.849480455,-69910.6917393496,"1674351944_02739"
77,-69989.8410500675,-69967.8410500675,-69939.1841780216,-69908.0264369163,"1674361401_94601"
22,-69986.3701265419,-69964.3701265419,-69935.713254496,-69904.5555133906,"1674353047_5463"
63,-69978.9437463225,-69956.9437463225,-69928.2868742767,-69897.1291331713,"1674359366_10198"
65,-69977.9092434458,-69955.9092434458,-69927.2523714,-69896.0946302946,"1674359649_34093"
60,-69973.25843167,-69951.25843167,-69922.6015596241,-69891.4438185188,"1674358843_34898"
72,-69973.2312349868,-69951.2312349868,-69922.5743629409,-69891.4166218356,"1674360646_94991"
98,-69964.4402823701,-69942.4402823701,-69913.7834103242,-69882.6256692188,"1674364376_24185"
58,-69961.3341534076,-69939.3341534076,-69910.6772813618,-69879.5195402564,"1674358536_83526"
26,-69960.3363930981,-69938.3363930981,-69909.6795210522,-69878.5217799469,"1674353515_35747"
100,-69951.8610695669,-69929.8610695669,-69901.2041975211,-69870.0464564157,"1674364594_12895"
67,-69950.4812650184,-69928.4812650184,-69899.8243929725,-69868.6666518671,"1674359864_69922"
73,-69948.8913639833,-69926.8913639833,-69898.2344919374,-69867.0767508321,"1674360772_87038"
50,-69947.1542440135,-69925.1542440135,-69896.4973719676,-69865.3396308622,"1674357367_72778"
81,-69923.1854056137,-69901.1854056137,-69872.5285335678,-69841.3707924625,"1674362059_06875"
12,-69762.643667797,-69740.643667797,-69711.9867957511,-69680.8290546458,"1674351522_1657"
34,-69756.7914567762,-69734.7914567762,-69706.1345847304,-69674.976843625,"1674354768_77889"
51,-69746.0615939414,-69724.0615939414,-69695.4047218955,-69664.2469807902,"1674357452_82003"
38,-69699.0252730232,-69677.0252730232,-69648.3684009773,-69617.210659872,"1674355459_63402"
20,-69670.6873595504,-69648.6873595504,-69620.0304875046,-69588.8727463992,"1674352739_23015"
69,-69660.1706994956,-69638.1706994956,-69609.5138274497,-69578.3560863444,"1674360134_34818"
29,-69563.4277727566,-69541.4277727566,-69512.7709007107,-69481.6131596054,"1674353898_36573"
52,-69422.9374466706,-69400.9374466706,-69372.2805746247,-69341.1228335194,"1674357664_4407"
18,-69395.0728706107,-69373.0728706107,-69344.4159985649,-69313.2582574595,"1674352441_4898"
4,-69306.9809387402,-69284.9809387402,-69256.3240666943,-69225.166325589,"1674350174_18222"
87,-69281.4280356267,-69259.4280356267,-69230.7711635809,-69199.6134224755,"1674363026_45618"
40,-69244.4643375576,-69222.4643375576,-69193.8074655118,-69162.6497244064,"1674355794_33292"
61,-69148.4420601162,-69126.4420601162,-69097.7851880703,-69066.627446965,"1674359000_79273"
36,-69108.9525260266,-69086.9525260266,-69058.2956539807,-69027.1379128754,"1674355149_10764"
54,-69064.2465672216,-69042.2465672216,-69013.5896951758,-68982.4319540704,"1674357941_86696"
89,-68861.0356897816,-68839.0356897816,-68810.3788177357,-68779.2210766304,"1674363292_87283"
47,-68779.672122654,-68757.672122654,-68729.0152506081,-68697.8575095028,"1674356844_04353"
30,-68689.3053787656,-68667.3053787656,-68638.6485067197,-68607.4907656144,"1674354074_58199"
68,-68427.0879188484,-68405.0879188484,-68376.4310468026,-68345.2733056972,"1674359957_0747"
99,-68143.100703433,-68121.100703433,-68092.4438313871,-68061.2860902818,"1674364494_40175"
49,-67952.4828186548,-67930.4828186548,-67901.825946609,-67870.6682055036,"1674357156_01613"
1,-67705.9579122583,-67683.9579122583,-67655.3010402124,-67624.143299107,"1674349867_15554"
84,-67345.6801694115,-67323.6801694115,-67295.0232973656,-67263.8655562602,"1674362492_21442"
96,-67321.5478680418,-67299.5478680418,-67270.8909959959,-67239.7332548906,"1674364112_88426"
17,-66217.1508467217,-66195.1508467217,-66166.4939746758,-66135.3362335705,"1674352271_81501"
79,-64840.9205842271,-64818.9205842271,-64790.2637121813,-64759.1059710759,"1674361686_57418"
24,-61850.2499496365,-61828.2499496365,-61799.5930775907,-61768.4353364853,"1674353246_18271"
