X,OFV,AIC,BIC,BICc,run
60,-691284.064213197,-691262.064213197,-691208.078905129,-691176.921164023,IacByfIH6dxgYnXQIvQI
68,-691029.296921087,-691007.296921087,-690953.311613019,-690922.153871913,1j8JmvEvqy2zxc8fX0LP
59,-689911.810316576,-689889.810316576,-689835.825008508,-689804.667267402,GKiwZDi9CU5Hsld9L8Zz
94,-689760.430721975,-689738.430721975,-689684.445413906,-689653.287672801,cSbMs9fvz7R12Y93JmK5
67,-688679.515838337,-688657.515838337,-688603.530530268,-688572.372789163,eZ4d1TDQH8AIkVhPKISN
62,-683657.41640355,-683635.41640355,-683581.431095482,-683550.273354376,csR1Pji9W706S4EwS5vK
61,-682014.589312108,-681992.589312108,-681938.604004039,-681907.446262934,d3QGkjTycpm48wpNRpmN
32,-680863.644891429,-680841.644891429,-680787.65958336,-680756.501842255,QyHgxb9pbZsqhObKru9o
28,-676427.641616078,-676405.641616078,-676351.656308009,-676320.498566903,q5BW5BYSp5JG2sxophWU
79,-674542.41101672,-674520.41101672,-674466.425708651,-674435.267967546,9fC6xghVnmfyE9pfHJgK
80,-672684.611835822,-672662.611835822,-672608.626527753,-672577.468786648,CVNAsbRTGj653iPZxKkE
55,-666097.477406188,-666075.477406188,-666021.492098119,-665990.334357014,Frx55gIPWJL127ALN7HH
40,-663921.201948444,-663899.201948444,-663845.216640376,-663814.05889927,evdlzEMMG44om3i20oHA
17,-663190.141907659,-663168.141907659,-663114.15659959,-663082.998858484,PhJwA3Qw2NjHc3KIVzFn
66,-661803.415848428,-661781.415848428,-661727.43054036,-661696.272799254,qgj7OVC5VBy8Q0INZkdZ
63,-645598.321104567,-645576.321104567,-645522.335796498,-645491.178055393,nI2J5eRYId1Qf5XeeSqs
86,-612828.384413894,-612806.384413894,-612752.399105825,-612721.241364719,PJTUWmeHvL4ANUJLwH1L
