"X","OFV","AIC","BIC","BICc","run"
22,-34992.7313387385,-34970.7313387385,-34949.6990856788,-34918.5413445734,"1674326202_92105"
23,-35040.6618411297,-35018.6618411297,-34997.62958807,-34966.4718469646,"1674326281_71448"
24,-35067.1725736384,-35045.1725736384,-35024.1403205787,-34992.9825794734,"1674326356_14094"
25,-35055.0822427958,-35033.0822427958,-35012.0499897361,-34980.8922486308,"1674326424_39078"
26,-31367.0794521791,-31345.0794521791,-31324.0471991194,-31292.889458014,"1674326496_47365"
27,-35004.4561919958,-34982.4561919958,-34961.4239389361,-34930.2661978308,"1674326563_27842"
28,-31399.7129679777,-31377.7129679777,-31356.680714918,-31325.5229738127,"1674326635_28348"
29,-34979.5773213342,-34957.5773213342,-34936.5450682744,-34905.3873271691,"1674326738_30488"
30,-35038.6609090174,-35016.6609090174,-34995.6286559577,-34964.4709148523,"1674326796_06617"
31,-34980.0405851406,-34958.0405851406,-34937.0083320809,-34905.8505909756,"1674326854_23723"
32,-35209.7614837284,-35187.7614837284,-35166.7292306687,-35135.5714895633,"1674326978_47391"
33,-35223.2990216368,-35201.2990216368,-35180.2667685771,-35149.1090274717,"1674327037_65707"
34,-35037.8181354051,-35015.8181354051,-34994.7858823454,-34963.62814124,"1674327153_34737"
35,-34917.8729060032,-34895.8729060032,-34874.8406529435,-34843.6829118382,"1674327235_11034"
36,-35015.1898964384,-34993.1898964384,-34972.1576433787,-34940.9999022734,"1674327327_62916"
37,-35156.812739145,-35134.812739145,-35113.7804860853,-35082.6227449799,"1674327384_09103"
38,-34975.3034717626,-34953.3034717626,-34932.2712187029,-34901.1134775976,"1674327446_82308"
39,-34090.3736508804,-34068.3736508804,-34047.3413978207,-34016.1836567153,"1674327509_1363"
40,-34987.7135866119,-34965.7135866119,-34944.6813335522,-34913.5235924468,"1674327613_66611"
41,-33417.1443853667,-33395.1443853667,-33374.112132307,-33342.9543912017,"1674327698_86238"
42,-35156.2592012642,-35134.2592012642,-35113.2269482045,-35082.0692070991,"1674327769_62634"
43,-35127.6016218923,-35105.6016218923,-35084.5693688326,-35053.4116277273,"1674327846_00571"
44,-34997.741914002,-34975.741914002,-34954.7096609423,-34923.5519198369,"1674327915_36431"
45,-35134.5713546804,-35112.5713546804,-35091.5391016207,-35060.3813605154,"1674327971_60599"
46,-35025.1798968453,-35003.1798968453,-34982.1476437856,-34950.9899026802,"1674328077_61347"
47,-34942.0031900715,-34920.0031900715,-34898.9709370118,-34867.8131959064,"1674328134_99144"
48,-35214.1394103292,-35192.1394103292,-35171.1071572695,-35139.9494161642,"1674328212_52017"
49,-35206.4554811863,-35184.4554811863,-35163.4232281266,-35132.2654870213,"1674328259_59733"
50,-35029.5003136367,-35007.5003136367,-34986.468060577,-34955.3103194717,"1674328310_74971"
51,-35252.1903741177,-35230.1903741177,-35209.158121058,-35178.0003799527,"1674328397_11605"
52,-35180.1878458036,-35158.1878458036,-35137.1555927439,-35105.9978516386,"1674328447_07345"
53,-34984.8192822493,-34962.8192822493,-34941.7870291896,-34910.6292880842,"1674328515_17668"
54,-34988.9416565217,-34966.9416565217,-34945.909403462,-34914.7516623566,"1674328577_69386"
55,-35142.9100204832,-35120.9100204832,-35099.8777674235,-35068.7200263181,"1674328648_95172"
56,-35145.1522599588,-35123.1522599588,-35102.1200068991,-35070.9622657937,"1674328719_1055"
57,-35098.3619545984,-35076.3619545984,-35055.3297015387,-35024.1719604334,"1674328799_95762"
58,-34979.2526905344,-34957.2526905344,-34936.2204374747,-34905.0626963693,"1674328847_85454"
59,-34989.4465462722,-34967.4465462722,-34946.4142932125,-34915.2565521072,"1674328931_07555"
60,-34934.3581829371,-34912.3581829371,-34891.3259298774,-34860.168188772,"1674328984_84315"
61,-34893.1393575718,-34871.1393575718,-34850.1071045121,-34818.9493634067,"1674329068_24564"
62,-35044.5732360138,-35022.5732360138,-35001.5409829541,-34970.3832418488,"1674329171_66631"
63,-34990.6575690784,-34968.6575690784,-34947.6253160187,-34916.4675749134,"1674329238_07254"
64,-34985.7664531822,-34963.7664531822,-34942.7342001225,-34911.5764590171,"1674329313_6867"
65,-34979.8695342164,-34957.8695342164,-34936.8372811567,-34905.6795400514,"1674329368_84006"
66,-35004.8045013247,-34982.8045013247,-34961.772248265,-34930.6145071597,"1674329428_57319"
67,-34993.9046061616,-34971.9046061616,-34950.8723531019,-34919.7146119965,"1674329506_94386"
68,-35193.7062007695,-35171.7062007695,-35150.6739477098,-35119.5162066045,"1674329643_44976"
69,-34883.2735177872,-34861.2735177872,-34840.2412647275,-34809.0835236221,"1674329705_39392"
70,-32339.3558236243,-32317.3558236243,-32296.3235705646,-32265.1658294593,"1674329785_97449"
71,-34979.7210202605,-34957.7210202605,-34936.6887672008,-34905.5310260955,"1674329911_53098"
72,-34989.7077046075,-34967.7077046075,-34946.6754515478,-34915.5177104425,"1674329968_10033"
73,-35015.978934377,-34993.978934377,-34972.9466813173,-34941.7889402119,"1674330043_88545"
74,-30920.2729153523,-30898.2729153523,-30877.2406622926,-30846.0829211872,"1674330111_22981"
75,-34979.1164691361,-34957.1164691361,-34936.0842160764,-34904.926474971,"1674330173_29544"
76,-35259.9988657025,-35237.9988657025,-35216.9666126428,-35185.8088715375,"1674330292_82331"
77,-34447.9908525371,-34425.9908525371,-34404.9585994773,-34373.800858372,"1674330352_84079"
78,-35083.6224243401,-35061.6224243401,-35040.5901712804,-35009.4324301751,"1674330453_96476"
79,-34976.8849061062,-34954.8849061062,-34933.8526530465,-34902.6949119412,"1674330528_71506"
80,-34771.8346071657,-34749.8346071657,-34728.802354106,-34697.6446130006,"1674330612_57446"
81,-34991.9582770628,-34969.9582770628,-34948.9260240031,-34917.7682828977,"1674330692_40098"
82,-34911.1621659133,-34889.1621659133,-34868.1299128536,-34836.9721717483,"1674330758_61589"
83,-34978.9408688322,-34956.9408688322,-34935.9086157725,-34904.7508746671,"1674330865_60114"
84,-33404.2729827847,-33382.2729827847,-33361.240729725,-33330.0829886197,"1674330925_6788"
85,-35236.2098037512,-35214.2098037512,-35193.1775506915,-35162.0198095862,"1674331046_60519"
86,-35195.0855009191,-35173.0855009191,-35152.0532478594,-35120.895506754,"1674331099_22204"
87,-34981.9637979783,-34959.9637979783,-34938.9315449186,-34907.7738038133,"1674331207_05648"
88,-34280.928785376,-34258.928785376,-34237.8965323163,-34206.7387912109,"1674331289_8224"
89,-28299.4577459291,-28277.4577459291,-28256.4254928694,-28225.267751764,"1674331352_15842"
90,-34943.8085685129,-34921.8085685129,-34900.7763154532,-34869.6185743478,"1674331453_30715"
91,-35085.3281666625,-35063.3281666625,-35042.2959136027,-35011.1381724974,"1674331512_52718"
92,-35077.911098949,-35055.911098949,-35034.8788458893,-35003.7211047839,"1674331586_00988"
93,-31284.6850912758,-31262.6850912758,-31241.6528382161,-31210.4950971108,"1674331658_71927"
94,-35092.399295288,-35070.399295288,-35049.3670422283,-35018.209301123,"1674331740_89588"
95,-34748.1756311047,-34726.1756311047,-34705.143378045,-34673.9856369397,"1674331833_92129"
96,-35026.0013072877,-35004.0013072877,-34982.969054228,-34951.8113131227,"1674331941_0423"
97,-35009.3271737987,-34987.3271737987,-34966.294920739,-34935.1371796337,"1674332017_00514"
98,-35073.0146485595,-35051.0146485595,-35029.9823954998,-34998.8246543945,"1674332094_11117"
99,-34982.3556301231,-34960.3556301231,-34939.3233770634,-34908.165635958,"1674332175_05382"
100,-35000.2964987274,-34978.2964987274,-34957.2642456677,-34926.1065045624,"1674332254_68849"
